nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,5511,5,0.09893465042114258,0.5075385570526123,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 2), (0, 1)]",0,1.8778581619262695,18.83884113068969
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,5864,5,0.09893465042114258,0.5108613967895508,True,v2,original_ranking,4,"[(0, 4), (0, 2), (0, 3), (0, 1)]",0,1.8898866176605225,18.94364578393712
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,606,5,0.09893465042114258,0.5114758014678955,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 1), (0, 2)]",0,1.8983125686645508,18.973047172499943
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,1933,5,0.09893465042114258,0.5112652778625488,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 2), (0, 1)]",0,1.8988959789276123,17.97409462889055
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,6071,5,0.09893465042114258,0.46334385871887207,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.3418693542480469,12.04656935276417
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,5504,5,0.09893465042114258,0.4615194797515869,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.1412875652313232,10.756625575639951
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,5163,5,0.09893465042114258,0.4636116027832031,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.1437335014343262,10.71311390242166
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,2406,5,0.09893465042114258,0.46640610694885254,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.1489579677581787,13.16545373733837
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,304,5,0.09893465042114258,0.5159327983856201,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 1), (0, 2)]",0,1.884404182434082,19.605343470104014
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,3391,5,0.09893465042114258,0.506303071975708,True,v2,original_ranking,4,"[(0, 4), (0, 1), (0, 3), (0, 2)]",0,1.8925349712371826,19.634005312153228
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,359,5,0.09893465042114258,0.4599299430847168,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.1378390789031982,11.57806404572269
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,9096,5,0.09893465042114258,0.5085453987121582,True,v2,original_ranking,4,"[(0, 4), (0, 1), (0, 3), (0, 2)]",0,1.889373779296875,19.29990852393861
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,3533,5,0.09893465042114258,0.5134894847869873,True,v2,original_ranking,4,"[(0, 3), (0, 1), (0, 4), (0, 2)]",0,1.8749418258666992,19.215332585568248
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,4125,5,0.09893465042114258,0.5167379379272461,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 1), (0, 2)]",0,1.8745002746582031,19.78537094967047
4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,cancer,3094,5,0.09893465042114258,0.5341134071350098,True,v2,original_ranking,4,"[(0, 4), (0, 3), (0, 2), (0, 1)]",0,1.8853106498718262,18.85461125448148
3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,cancer,6398,5,0.09893465042114258,0.46212005615234375,True,v2,original_ranking,3,"[(0, 4), (0, 3), (0, 1)]",0,1.1311817169189453,11.2919232114222
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,earthquake,7816,5,0.041684627532958984,0.5040912628173828,True,v2,original_ranking,5,"[(1, 2), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.226773738861084,35.41127713457994
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,3578,5,0.041684627532958984,0.4714806079864502,True,v2,original_ranking,6,"[(1, 2), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.4563348293304443,38.381652308601176
7,0.4286,1.0,0.5,0.2857,0.5,0.3636,5.0,0.0,14.0,earthquake,2656,5,0.041684627532958984,0.45196080207824707,True,v2,original_ranking,7,"[(1, 2), (2, 4), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.581022262573242,38.92240359631092
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,earthquake,2688,5,0.041684627532958984,0.511563777923584,True,v2,original_ranking,5,"[(1, 2), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.2149884700775146,34.92179010706422
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,2494,5,0.041684627532958984,0.46837472915649414,True,v2,original_ranking,6,"[(1, 2), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.400864839553833,36.619050441446106
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,183,5,0.041684627532958984,0.4645211696624756,True,v2,original_ranking,6,"[(1, 2), (1, 3), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.4274916648864746,38.48594731699264
