n_nodes,dataset,seed,elapsed_time
5,earthquake,2617,0.00948190689086914
5,earthquake,7166,0.011014223098754883
5,earthquake,1428,0.009493589401245117
5,earthquake,8328,0.010219335556030273
5,earthquake,8289,0.009422540664672852
5,earthquake,5978,0.00945734977722168
5,earthquake,5511,0.009441614151000977
5,earthquake,5864,0.009406328201293945
5,earthquake,606,0.010439157485961914
5,earthquake,1933,0.010214090347290039
5,earthquake,6071,0.01021432876586914
5,earthquake,5504,0.010197639465332031
5,earthquake,5163,0.010202884674072266
5,earthquake,2406,0.00946187973022461
5,earthquake,304,0.009433507919311523
5,earthquake,3391,0.010218381881713867
5,earthquake,359,0.010198354721069336
5,earthquake,9096,0.009432077407836914
5,earthquake,3533,0.009419918060302734
5,earthquake,4125,0.010204076766967773
5,earthquake,3094,0.009443998336791992
5,earthquake,6398,0.009541988372802734
6,survey,7816,0.007828474044799805
6,survey,3578,0.005661487579345703
6,survey,2656,0.00845646858215332
6,survey,2688,0.00836038589477539
6,survey,2494,0.005166769027709961
6,survey,183,0.005125522613525391
6,survey,7977,0.005151510238647461
6,survey,3199,0.007277965545654297
6,survey,316,0.007794618606567383
6,survey,8266,0.006437778472900391
6,survey,1532,0.007245063781738281
6,survey,1009,0.005652904510498047
6,survey,2250,0.006078243255615234
6,survey,4447,0.005871295928955078
6,survey,2415,0.007244110107421875
6,survey,3595,0.005151987075805664
6,survey,4187,0.005065202713012695
6,survey,4135,0.007283926010131836
6,survey,5174,0.007249355316162109
6,survey,5303,0.005156993865966797
6,survey,3942,0.008402347564697266
6,survey,2778,0.005154609680175781
6,survey,2804,0.005136966705322266
6,survey,2145,0.005918979644775391
6,survey,150,0.007260322570800781
6,survey,8823,0.008386850357055664
6,survey,4669,0.007285594940185547
6,survey,6131,0.007266044616699219
6,survey,2617,0.010303020477294922
6,survey,7166,0.0051572322845458984
6,survey,1428,0.007231950759887695
6,survey,8328,0.013323307037353516
6,survey,8289,0.007284402847290039
6,survey,5978,0.0072841644287109375
6,survey,5511,0.006064176559448242
6,survey,5864,0.005907297134399414
6,survey,606,0.008824825286865234
6,survey,1933,0.008366584777832031
6,survey,6071,0.007246971130371094
6,survey,5504,0.005155324935913086
6,survey,5163,0.008291244506835938
6,survey,2406,0.0061380863189697266
6,survey,304,0.005147218704223633
6,survey,3391,0.0051381587982177734
6,survey,359,0.009154319763183594
6,survey,9096,0.008903980255126953
6,survey,3533,0.007796287536621094
6,survey,4125,0.00832676887512207
6,survey,3094,0.008364439010620117
6,survey,6398,0.005170583724975586
8,asia,7816,0.023757457733154297
8,asia,3578,0.023398160934448242
8,asia,2656,0.030565500259399414
8,asia,2688,0.023204803466796875
8,asia,2494,0.029448986053466797
8,asia,183,0.02789163589477539
8,asia,7977,0.025710105895996094
8,asia,3199,0.025459766387939453
8,asia,316,0.02214956283569336
8,asia,8266,0.025595903396606445
8,asia,1532,0.022277116775512695
8,asia,1009,0.022307634353637695
8,asia,2250,0.025049686431884766
