n_nodes,n_edges,seed,elapsed_time
4,4,2406,0.003703594207763672
4,4,304,0.0045969486236572266
4,4,3391,0.0036895275115966797
4,4,359,0.004414081573486328
4,4,9096,0.004380226135253906
4,4,3533,0.003901243209838867
4,4,4125,0.0036859512329101562
4,4,3094,0.003979921340942383
4,4,6398,0.0037326812744140625
5,5,7816,0.006886959075927734
5,5,3578,0.0060160160064697266
5,5,2656,0.005110263824462891
5,5,2688,0.0077533721923828125
5,5,2494,0.0030770301818847656
5,5,183,0.008504152297973633
5,5,7977,0.004668474197387695
5,5,3199,0.008132696151733398
5,5,316,0.006490945816040039
5,5,8266,0.004846811294555664
5,5,1532,0.004940986633300781
5,5,1009,0.003117084503173828
5,5,2250,0.006892204284667969
5,5,4447,0.0031578540802001953
5,5,2415,0.005156517028808594
5,5,3595,0.008382081985473633
5,5,4187,0.0051348209381103516
5,5,4135,0.004400730133056641
5,5,5174,0.005548000335693359
5,5,5303,0.006363868713378906
5,5,3942,0.008906841278076172
5,5,2778,0.010105609893798828
5,5,2804,0.00792241096496582
5,5,2145,0.004784822463989258
5,5,150,0.005063295364379883
5,5,8823,0.004635810852050781
5,5,4669,0.007727622985839844
5,5,6131,0.005970954895019531
5,5,2617,0.0070037841796875
5,5,7166,0.009081602096557617
5,5,1428,0.00460505485534668
5,5,8328,0.005902528762817383
5,5,8289,0.006031990051269531
5,5,5978,0.006516456604003906
5,5,5511,0.005414485931396484
5,5,5864,0.006278038024902344
5,5,606,0.004918336868286133
5,5,1933,0.005102634429931641
5,5,6071,0.006897926330566406
5,5,5504,0.008766412734985352
5,5,5163,0.009775400161743164
5,5,2406,0.00867915153503418
5,5,304,0.008056879043579102
5,5,3391,0.006925106048583984
5,5,359,0.006928443908691406
5,5,9096,0.008507966995239258
5,5,3533,0.004240274429321289
5,5,4125,0.008499383926391602
5,5,3094,0.005372762680053711
5,5,6398,0.006947040557861328
6,6,7816,0.00728297233581543
6,6,3578,0.007510662078857422
6,6,2656,0.010641336441040039
6,6,2688,0.012155532836914062
6,6,2494,0.008911609649658203
6,6,183,0.009810924530029297
6,6,7977,0.0051305294036865234
6,6,3199,0.00885152816772461
6,6,316,0.012904644012451172
6,6,8266,0.0060634613037109375
6,6,1532,0.012279510498046875
6,6,1009,0.00863194465637207
6,6,2250,0.011095046997070312
6,6,4447,0.012209177017211914
6,6,2415,0.00692296028137207
6,6,3595,0.008566141128540039
6,6,4187,0.011782169342041016
6,6,4135,0.012945890426635742
6,6,5174,0.003990888595581055
6,6,5303,0.005276203155517578
6,6,3942,0.009262800216674805
6,6,2778,0.006131172180175781
6,6,2804,0.010524988174438477
6,6,2145,0.0074007511138916016
6,6,150,0.010706663131713867
6,6,8823,0.00859689712524414
6,6,4669,0.013276100158691406
6,6,6131,0.010750532150268555
6,6,2617,0.004498720169067383
6,6,7166,0.011039018630981445
6,6,1428,0.012049674987792969
6,6,8328,0.009413003921508789
6,6,8289,0.00800776481628418
6,6,5978,0.009739875793457031
6,6,5511,0.005738735198974609
6,6,5864,0.013170719146728516
6,6,606,0.01065516471862793
6,6,1933,0.008323907852172852
6,6,6071,0.012152433395385742
6,6,5504,0.011025667190551758
6,6,5163,0.007740974426269531
6,6,2406,0.009358644485473633
6,6,304,0.012302398681640625
6,6,3391,0.013188600540161133
6,6,359,0.008471012115478516
6,6,9096,0.00879669189453125
6,6,3533,0.004919528961181641
6,6,4125,0.008483171463012695
6,6,3094,0.009895801544189453
6,6,6398,0.008200883865356445
7,7,7816,0.014928817749023438
7,7,3578,0.01407170295715332
7,7,2656,0.007150411605834961
7,7,2688,0.012967824935913086
7,7,2494,0.008552789688110352
7,7,183,0.010211706161499023
7,7,7977,0.01159214973449707
7,7,3199,0.012873649597167969
7,7,316,0.0163116455078125
7,7,8266,0.015565872192382812
7,7,1532,0.015685558319091797
7,7,1009,0.025404691696166992
