nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,606,5,0.11648988723754883,0.9984009265899658,True,v2,original_ranking,4,"[(4, 0), (2, 0), (1, 0), (3, 0)]",0,1.3656117916107178,21.022691183002845
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,1933,5,0.11648988723754883,0.9854848384857178,True,v2,original_ranking,4,"[(3, 0), (1, 0), (2, 0), (4, 0)]",0,1.3514034748077393,20.236942297771723
4,0.75,0.25,0.5,0.25,0.25,0.25,4.0,10.0,15.0,cancer,6071,5,0.11648988723754883,0.9792037010192871,True,v2,original_ranking,4,"[(3, 0), (1, 0), (4, 0), (4, 2)]",0,0.9808084964752197,14.481529899818955
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,5504,5,0.11648988723754883,0.9799141883850098,True,v2,original_ranking,3,"[(4, 0), (3, 0), (1, 0)]",0,0.8313858509063721,12.435616998702187
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,5163,5,0.11648988723754883,0.9846787452697754,True,v2,original_ranking,3,"[(3, 0), (1, 0), (4, 0)]",0,0.831866979598999,12.651817348002478
4,0.75,0.25,0.5,0.25,0.25,0.25,4.0,10.0,15.0,cancer,2406,5,0.11648988723754883,0.9899535179138184,True,v2,original_ranking,4,"[(4, 0), (1, 0), (3, 0), (1, 3)]",0,0.8514883518218994,11.913222303336111
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,304,5,0.11648988723754883,1.0001850128173828,True,v2,original_ranking,4,"[(2, 0), (1, 0), (4, 0), (3, 0)]",0,1.3714327812194824,20.12943993528017
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,3391,5,0.11648988723754883,0.9939489364624023,True,v2,original_ranking,4,"[(4, 0), (1, 0), (2, 0), (3, 0)]",0,1.3614282608032227,20.365929679124925
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0,cancer,359,5,0.11648988723754883,0.9826140403747559,True,v2,original_ranking,3,"[(3, 0), (1, 0), (4, 0)]",0,0.8158457279205322,11.69511599803408
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,9096,5,0.11648988723754883,0.97780442237854,True,v2,original_ranking,4,"[(4, 0), (1, 0), (2, 0), (3, 0)]",0,1.0100643634796143,20.69310375177817
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,3533,5,0.11648988723754883,0.9888322353363037,True,v2,original_ranking,4,"[(4, 0), (3, 0), (2, 0), (1, 0)]",0,1.3916583061218262,20.78273446897844
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,4125,5,0.11648988723754883,1.0010368824005127,True,v2,original_ranking,4,"[(4, 0), (2, 0), (1, 0), (3, 0)]",0,1.3585567474365234,20.214595183166242
4,0.5,0.5,0.3333,0.25,0.25,0.25,3.0,10.0,15.0,cancer,3094,5,0.11648988723754883,0.99393630027771,True,v2,original_ranking,4,"[(3, 0), (1, 0), (4, 0), (0, 2)]",0,1.3490188121795654,19.762274551494333
3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,11.0,cancer,6398,5,0.11648988723754883,0.9963676929473877,True,v2,original_ranking,3,"[(4, 0), (3, 0), (0, 1)]",0,0.8158586025238037,11.083485575084302
8,0.625,0.75,0.8333,0.375,0.75,0.5,5.0,3.0,12.0,earthquake,7816,5,0.11512136459350586,0.9786276817321777,True,v2,original_ranking,8,"[(4, 0), (2, 0), (3, 0), (1, 0), (2, 3), (1, 3), (1, 4), (3, 4)]",0,1.5766022205352783,31.08872273438013
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,3578,5,0.11512136459350586,0.9889142513275146,True,v2,original_ranking,9,"[(3, 0), (2, 0), (4, 0), (1, 0), (4, 3), (1, 3), (3, 2), (1, 2), (4, 1)]",0,1.7226364612579346,32.15686615212799
