nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,best_I
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,1009,5,12.234522104263306,0.9270913600921631,True,refined_indep_facts,arrows_mean,0.022829294204711914,0.009407281875610352,0.5222178827702906
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,2250,5,12.234522104263306,0.918201208114624,True,original,original,0.9078640937805176,2.0252158641815186,20.13720470085548
4,0.25,0.75,0.1667,0.5,0.5,0.5,2.0,5.0,15.0,cancer,2250,5,12.234522104263306,0.918201208114624,True,original,refined_indep_facts,0.9078640937805176,1.496201753616333,2.035717224148264
9,0.5556,1.0,0.8333,0.2222,0.5,0.3077,7.0,3.0,17.0,cancer,2250,5,12.234522104263306,0.918201208114624,True,original,arrows_sum,0.9078640937805176,0.8402342796325684,4.467938055659335
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,10.0,cancer,2250,5,12.234522104263306,0.918201208114624,True,original,arrows_mean,0.9078640937805176,0.8360347747802734,0.5082132534005765
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2250,5,12.234522104263306,0.918201208114624,True,refined_indep_facts,original,0.023439645767211914,0.02196669578552246,-3.4710242857989764
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2250,5,12.234522104263306,0.918201208114624,True,refined_indep_facts,refined_indep_facts,0.023439645767211914,0.015430450439453125,4.01167727023814
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2250,5,12.234522104263306,0.918201208114624,True,refined_indep_facts,arrows_sum,0.023439645767211914,0.009516239166259766,0.5164265553268167
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2250,5,12.234522104263306,0.918201208114624,True,refined_indep_facts,arrows_mean,0.023439645767211914,0.009660482406616211,0.5164265553268167
3,0.6667,0.25,0.3333,0.0,0.0,,4.0,11.0,16.0,cancer,4447,5,12.234522104263306,0.921442985534668,True,original,original,0.7575728893280029,0.0027704238891601562,11.608612178281957
3,0.6667,0.25,0.3333,0.0,0.0,,4.0,11.0,16.0,cancer,4447,5,12.234522104263306,0.921442985534668,True,original,refined_indep_facts,0.7575728893280029,0.001837015151977539,2.5515787945614656
3,0.6667,0.25,0.3333,0.0,0.0,,4.0,11.0,16.0,cancer,4447,5,12.234522104263306,0.921442985534668,True,original,arrows_sum,0.7575728893280029,0.001154184341430664,1.5005027970260778
3,0.6667,0.25,0.3333,0.0,0.0,,4.0,11.0,16.0,cancer,4447,5,12.234522104263306,0.921442985534668,True,original,arrows_mean,0.7575728893280029,0.0011394023895263672,0.5001675990086926
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,4447,5,12.234522104263306,0.921442985534668,True,refined_indep_facts,original,0.022873640060424805,0.013451814651489258,3.1883369737606486
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,4447,5,12.234522104263306,0.921442985534668,True,refined_indep_facts,refined_indep_facts,0.022873640060424805,0.012600898742675781,3.5742324917456907
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,4447,5,12.234522104263306,0.921442985534668,True,refined_indep_facts,arrows_sum,0.022873640060424805,0.007336616516113281,0.5005849259743744
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,4447,5,12.234522104263306,0.921442985534668,True,refined_indep_facts,arrows_mean,0.022873640060424805,0.0073397159576416016,0.5005849259743744
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2415,5,12.234522104263306,0.9225049018859863,True,original,original,0.6990771293640137,0.04786801338195801,20.891249902351056
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2415,5,12.234522104263306,0.9225049018859863,True,original,refined_indep_facts,0.6990771293640137,0.03341841697692871,2.358443374703827
6,0.6667,0.5,0.6667,0.3333,0.5,0.4,4.0,13.0,13.0,cancer,2415,5,12.234522104263306,0.9225049018859863,True,original,arrows_sum,0.6990771293640137,0.01986980438232422,3.0804510891170254
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0,cancer,2415,5,12.234522104263306,0.9225049018859863,True,original,arrows_mean,0.6990771293640137,0.01988840103149414,0.5198135158326941
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2415,5,12.234522104263306,0.9225049018859863,True,refined_indep_facts,original,0.02270650863647461,0.02218317985534668,-2.1488042801707117
1,0.0,0.25,0.0,0.0,0.0,,4.0,9.0,14.0,cancer,2415,5,12.234522104263306,0.9225049018859863,True,refined_indep_facts,refined_indep_facts,0.02270650863647461,0.015242576599121094,4.5516769706253255
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0,cancer,2415,5,12.234522104263306,0.9225049018859863,True,refined_indep_facts,arrows_sum,0.02270650863647461,0.009520292282104492,0.5198172622536035
