nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
4,0.75,0.25,0.5,0.25,0.25,0.25,3.0,15.0,cancer,1009,5,12.333260297775269,0.9225735664367676,True,original,arrows_sum,0.5578737258911133,0.0013320446014404297,4,"frozenset({(1, 0), (4, 0), (2, 0), (0, 3)})",2.044446162030341
4,0.75,0.25,0.5,0.25,0.25,0.25,3.0,15.0,cancer,1009,5,12.333260297775269,0.9225735664367676,True,original,arrows_mean,0.5578737258911133,0.0012125968933105469,4,"frozenset({(1, 0), (4, 0), (2, 0), (0, 3)})",0.5111115405075852
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,1009,5,12.333260297775269,0.9225735664367676,True,refined_indep_facts,original,0.024985551834106445,0.022958755493164062,1,"frozenset({(3, 0)})",-1.9890451243573564
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,1009,5,12.333260297775269,0.9225735664367676,True,refined_indep_facts,refined_indep_facts,0.024985551834106445,0.017027616500854492,1,"frozenset({(3, 0)})",4.552455487976532
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,1009,5,12.333260297775269,0.9225735664367676,True,refined_indep_facts,arrows_sum,0.024985551834106445,0.009444236755371094,1,"frozenset({(2, 0)})",0.522225043107853
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,1009,5,12.333260297775269,0.9225735664367676,True,refined_indep_facts,arrows_mean,0.024985551834106445,0.009498119354248047,1,"frozenset({(2, 0)})",0.522225043107853
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,2250,5,12.333260297775269,0.9157431125640869,True,original,original,1.0289227962493896,2.0340278148651123,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",20.13720470085548
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2250,5,12.333260297775269,0.9157431125640869,True,original,refined_indep_facts,1.0289227962493896,1.4805264472961426,4,"frozenset({(1, 0), (0, 3), (2, 0), (0, 4)})",2.0360435069694884
9,0.6667,0.75,1.0,0.3333,0.75,0.4615,6.0,4.0,cancer,2250,5,12.333260297775269,0.9157431125640869,True,original,arrows_sum,1.0289227962493896,0.8403482437133789,9,"frozenset({(0, 1), (0, 4), (2, 1), (3, 1), (4, 2), (3, 0), (0, 2), (3, 2), (4, 1)})",4.468526710568869
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,2250,5,12.333260297775269,0.9157431125640869,True,original,arrows_mean,1.0289227962493896,0.8404812812805176,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",0.5082132126791145
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2250,5,12.333260297775269,0.9157431125640869,True,refined_indep_facts,original,0.024701833724975586,0.022057294845581055,1,"frozenset({(3, 0)})",-3.4710242857989764
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2250,5,12.333260297775269,0.9157431125640869,True,refined_indep_facts,refined_indep_facts,0.024701833724975586,0.015346527099609375,1,"frozenset({(3, 0)})",4.01184330674721
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2250,5,12.333260297775269,0.9157431125640869,True,refined_indep_facts,arrows_sum,0.024701833724975586,0.009702205657958984,1,"frozenset({(3, 0)})",0.5164264738838925
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2250,5,12.333260297775269,0.9157431125640869,True,refined_indep_facts,arrows_mean,0.024701833724975586,0.009804725646972656,1,"frozenset({(3, 0)})",0.5164264738838925
3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,cancer,4447,5,12.333260297775269,0.9148898124694824,True,original,original,0.6763300895690918,0.002686023712158203,3,"frozenset({(1, 0), (4, 0), (0, 3)})",11.608612178281957
3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,cancer,4447,5,12.333260297775269,0.9148898124694824,True,original,refined_indep_facts,0.6763300895690918,0.0018906593322753906,3,"frozenset({(1, 0), (4, 0), (0, 3)})",2.5514264477165587
3,1.0,0.0,0.5,0.0,0.0,,4.0,16.0,cancer,4447,5,12.333260297775269,0.9148898124694824,True,original,arrows_sum,0.6763300895690918,0.0011982917785644531,3,"frozenset({(1, 0), (4, 0), (0, 3)})",1.5003861266838954
