nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,150,5,12.206302881240845,0.9218780994415283,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (1, 0), (3, 0), (2, 0)]",0,1.3454663753509521,21.040892555850142
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,150,5,12.206302881240845,0.9218780994415283,True,stand_alone_gradual,refined_ranking,0,[],0,0.5620052814483643,4.1688269378970215
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,8823,5,12.206302881240845,0.9268810749053955,True,stand_alone_gradual,original_ranking,4,"[(3, 0), (2, 0), (4, 0), (1, 0)]",0,1.3187189102172852,20.414986354565528
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,8823,5,12.206302881240845,0.9268810749053955,True,stand_alone_gradual,refined_ranking,0,[],0,0.5489444732666016,4.172372968838049
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,4669,5,12.206302881240845,0.9438843727111816,True,stand_alone_gradual,original_ranking,4,"[(3, 0), (2, 0), (1, 0), (4, 0)]",0,1.3286938667297363,20.465176024216788
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,4669,5,12.206302881240845,0.9438843727111816,True,stand_alone_gradual,refined_ranking,0,[],0,0.5507893562316895,4.609111881229752
4,0.75,0.25,0.5,0.25,0.25,0.25,4.0,10.0,cancer,6131,5,12.206302881240845,0.9196569919586182,True,stand_alone_gradual,original_ranking,4,"[(1, 4), (4, 0), (1, 0), (3, 0)]",0,0.6136882305145264,12.25716889222427
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,6131,5,12.206302881240845,0.9196569919586182,True,stand_alone_gradual,refined_ranking,0,[],0,0.36920666694641113,3.1960089132262914
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2617,5,12.206302881240845,0.9207346439361572,True,stand_alone_gradual,original_ranking,4,"[(3, 0), (2, 0), (4, 0), (1, 0)]",0,1.341820478439331,21.596828295785315
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,2617,5,12.206302881240845,0.9207346439361572,True,stand_alone_gradual,refined_ranking,0,[],0,0.5655739307403564,4.65515624122614
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,cancer,7166,5,12.206302881240845,0.9174344539642334,True,stand_alone_gradual,original_ranking,5,"[(2, 0), (1, 0), (4, 0), (3, 4), (3, 0)]",0,1.108747959136963,24.405099098961497
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,7166,5,12.206302881240845,0.9174344539642334,True,stand_alone_gradual,refined_ranking,0,[],0,0.4654409885406494,5.659844122695366
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,1428,5,12.206302881240845,0.9241583347320557,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (1, 0), (3, 0), (2, 0)]",0,1.3358945846557617,19.963030462116233
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,1428,5,12.206302881240845,0.9241583347320557,True,stand_alone_gradual,refined_ranking,0,[],0,0.5630366802215576,4.366447420059991
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,8328,5,12.206302881240845,0.93198561668396,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (2, 0), (1, 0), (3, 0)]",0,1.3463096618652344,20.43563908118745
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,8328,5,12.206302881240845,0.93198561668396,True,stand_alone_gradual,refined_ranking,0,[],0,0.5648214817047119,4.288718994567884
5,0.6,0.5,0.5,0.4,0.5,0.4444,3.0,9.0,cancer,8289,5,12.206302881240845,0.9194209575653076,True,stand_alone_gradual,original_ranking,5,"[(2, 0), (1, 0), (4, 0), (3, 0), (3, 4)]",0,1.3430166244506836,20.59971183013817
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,8289,5,12.206302881240845,0.9194209575653076,True,stand_alone_gradual,refined_ranking,0,[],0,0.5277571678161621,3.985976158070114
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,5978,5,12.206302881240845,0.916893720626831,True,stand_alone_gradual,original_ranking,3,"[(1, 0), (4, 0), (3, 0)]",0,0.8166744709014893,13.01106799870293
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,5978,5,12.206302881240845,0.916893720626831,True,stand_alone_gradual,refined_ranking,0,[],0,0.5090415477752686,3.951010823281839
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,5511,5,12.206302881240845,0.929495096206665,True,stand_alone_gradual,original_ranking,4,"[(3, 0), (2, 0), (1, 0), (4, 0)]",0,1.3192412853240967,21.120510622985844
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,5511,5,12.206302881240845,0.929495096206665,True,stand_alone_gradual,refined_ranking,0,[],0,0.5491433143615723,4.933428648735611
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,5864,5,12.206302881240845,0.9129705429077148,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (2, 0), (3, 0), (1, 0)]",0,1.3358170986175537,21.033115448005688
