dataset,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
asia,NOTEARS-MLP,8328,52.42031979560852,8,0.375,0.625,0.15,0.25,0.25,0.25,8.0,21.0,43.0
asia,NOTEARS-MLP,8289,61.51169443130493,9,0.4444,0.625,0.2,0.2222,0.25,0.2353,9.0,21.0,42.0
asia,NOTEARS-MLP,5978,75.77924489974976,9,0.4444,0.625,0.2,0.2222,0.25,0.2353,9.0,21.0,42.0
asia,NOTEARS-MLP,5511,57.16304016113281,9,0.4444,0.625,0.2,0.2222,0.25,0.2353,9.0,21.0,42.0
asia,NOTEARS-MLP,5864,60.614360332489014,9,0.4444,0.625,0.2,0.2222,0.25,0.2353,9.0,21.0,42.0
asia,NOTEARS-MLP,606,59.561827659606934,7,0.1429,0.75,0.05,0.2857,0.25,0.2667,7.0,18.0,40.0
asia,NOTEARS-MLP,1933,46.14900255203247,8,0.125,0.875,0.05,0.375,0.375,0.375,4.0,1.0,30.0
asia,NOTEARS-MLP,6071,62.89758539199829,8,0.375,0.625,0.15,0.25,0.25,0.25,8.0,21.0,43.0
asia,NOTEARS-MLP,5504,53.26222610473633,8,0.375,0.625,0.15,0.25,0.25,0.25,8.0,21.0,43.0
asia,NOTEARS-MLP,5163,64.24491381645203,9,0.4444,0.625,0.2,0.2222,0.25,0.2353,9.0,21.0,42.0
asia,NOTEARS-MLP,2406,54.73916482925415,8,0.375,0.625,0.15,0.25,0.25,0.25,8.0,21.0,43.0
asia,NOTEARS-MLP,304,64.51171827316284,8,0.25,0.75,0.1,0.25,0.25,0.25,8.0,18.0,39.0
asia,NOTEARS-MLP,3391,57.3258261680603,8,0.375,0.625,0.15,0.25,0.25,0.25,8.0,21.0,43.0
asia,NOTEARS-MLP,359,72.53069758415222,9,0.4444,0.625,0.2,0.2222,0.25,0.2353,9.0,12.0,40.0
asia,NOTEARS-MLP,9096,57.15457630157471,8,0.375,0.625,0.15,0.25,0.25,0.25,8.0,21.0,43.0
asia,NOTEARS-MLP,3533,68.78609442710876,8,0.375,0.625,0.15,0.25,0.25,0.25,8.0,21.0,43.0
asia,NOTEARS-MLP,4125,59.677011013031006,9,0.4444,0.625,0.2,0.2222,0.25,0.2353,9.0,21.0,42.0
asia,NOTEARS-MLP,3094,64.86767482757568,9,0.4444,0.625,0.2,0.2222,0.25,0.2353,9.0,21.0,42.0
asia,NOTEARS-MLP,6398,54.14844489097595,9,0.4444,0.625,0.2,0.2222,0.25,0.2353,9.0,21.0,42.0
sachs,Random,7816,0.000213623046875,17,0.8235,0.1765,0.3684,0.1765,0.1765,0.1765,28.0,53.0,53.0
sachs,Random,3578,0.00021910667419433594,17,0.8235,0.1765,0.3684,0.1176,0.1176,0.1176,29.0,45.0,48.0
sachs,Random,2656,0.00022292137145996094,17,0.7647,0.2353,0.3421,0.0588,0.0588,0.0588,24.0,50.0,54.0
sachs,Random,2688,0.0002574920654296875,17,0.7647,0.2353,0.3421,0.1765,0.1765,0.1765,28.0,52.0,55.0
sachs,Random,2494,0.00021505355834960938,17,0.8824,0.1176,0.3947,0.0588,0.0588,0.0588,29.0,41.0,47.0
sachs,Random,183,0.0002491474151611328,17,0.7059,0.2941,0.3158,0.1765,0.1765,0.1765,27.0,40.0,51.0
sachs,Random,7977,0.0002570152282714844,17,0.8235,0.1765,0.3684,0.1765,0.1765,0.1765,26.0,50.0,50.0
sachs,Random,3199,0.000213623046875,17,0.7647,0.2353,0.3421,0.1176,0.1176,0.1176,25.0,43.0,50.0
sachs,Random,316,0.00026488304138183594,17,0.7647,0.2353,0.3421,0.1765,0.1765,0.1765,25.0,43.0,44.0
sachs,Random,8266,0.00022149085998535156,17,0.6471,0.3529,0.2895,0.2353,0.2353,0.2353,25.0,41.0,52.0
sachs,Random,1532,0.00025653839111328125,17,0.7059,0.2941,0.3158,0.1765,0.1765,0.1765,24.0,45.0,57.0
sachs,Random,1009,0.00020599365234375,17,0.8824,0.1176,0.3947,0.0588,0.0588,0.0588,27.0,54.0,57.0
sachs,Random,2250,0.00021219253540039062,17,0.8235,0.1765,0.3684,0.0588,0.0588,0.0588,26.0,57.0,59.0
sachs,Random,4447,0.0002536773681640625,17,0.8235,0.1765,0.3684,0.1765,0.1765,0.1765,29.0,46.0,47.0
sachs,Random,2415,0.0002124309539794922,17,0.7059,0.2941,0.3158,0.1176,0.1176,0.1176,24.0,51.0,57.0
sachs,Random,3595,0.00021195411682128906,17,0.8235,0.1765,0.3684,0.0588,0.0588,0.0588,29.0,42.0,57.0
sachs,Random,4187,0.00024580955505371094,17,0.9412,0.0588,0.4211,0.0588,0.0588,0.0588,32.0,46.0,54.0
sachs,Random,4135,0.00020551681518554688,17,0.7059,0.2941,0.3158,0.1765,0.1765,0.1765,25.0,42.0,55.0
sachs,Random,5174,0.0002608299255371094,17,0.8235,0.1765,0.3684,0.1176,0.1176,0.1176,29.0,51.0,56.0
sachs,Random,5303,0.0002562999725341797,17,0.8824,0.1176,0.3947,0.0588,0.0588,0.0588,28.0,51.0,58.0
sachs,Random,3942,0.00020885467529296875,17,0.9412,0.0588,0.4211,0.0588,0.0588,0.0588,28.0,56.0,56.0
sachs,Random,2778,0.00024056434631347656,17,0.8235,0.1765,0.3684,0.1176,0.1176,0.1176,27.0,47.0,48.0
sachs,Random,2804,0.00020599365234375,17,0.9412,0.0588,0.4211,0.0588,0.0588,0.0588,27.0,51.0,51.0
sachs,Random,2145,0.000209808349609375,17,0.7647,0.2353,0.3421,0.1176,0.1176,0.1176,28.0,37.0,47.0
sachs,Random,150,0.00020647048950195312,17,0.7647,0.2353,0.3421,0.0588,0.0588,0.0588,26.0,47.0,57.0
sachs,Random,8823,0.00025534629821777344,17,0.7059,0.2941,0.3158,0.1765,0.1765,0.1765,25.0,39.0,50.0
sachs,Random,4669,0.00021004676818847656,17,0.8235,0.1765,0.3684,0.1765,0.1765,0.1765,30.0,42.0,50.0
sachs,Random,6131,0.00021886825561523438,17,0.7059,0.2941,0.3158,0.1765,0.1765,0.1765,25.0,51.0,54.0
sachs,Random,2617,0.00025081634521484375,17,0.8235,0.1765,0.3684,0.0,0.0,,23.0,53.0,61.0
sachs,Random,7166,0.00025725364685058594,17,0.8235,0.1765,0.3684,0.1765,0.1765,0.1765,28.0,46.0,53.0
sachs,Random,1428,0.00020742416381835938,17,0.7647,0.2353,0.3421,0.1176,0.1176,0.1176,28.0,40.0,42.0
